pageURL,imgname,click,highlight,crop,cliname,permissionLevel,group,run
https://cloud.skytap.com,scr-dsh-main,,,,video_buildfirstenv,admin,videos,
https://cloud.skytap.com/configurations,scr-env-list,,,,video_buildfirstenv,admin,videos,
https://cloud.skytap.com/imports,scr-env-imports-tab,,,,video_buildfirstenv,admin,videos,
https://cloud.skytap.com/auditing,scr-adm-auditing-filters-sub,,,div#filters,used,admin,docs,
https://cloud.skytap.com/departments/new,scr-adm-dpt-newdepartment,,,,used,admin,docs,
https://cloud.skytap.com/groups,scr-adm-groups-newgroup-sub,a.new-group,,div.content,used,admin,docs,
https://cloud.skytap.com/users?sort=last_login_desc&count=20,scr-adm-users-list-edituserlimits-highlight,,button.edit-limits,,notused,admin,docs,
https://cloud.skytap.com/users?sort=last_login_desc&count=20,scr-adm-users-multi-highlight,button.toggle-multi-select-mode,button.toggle-multi-select-mode,g,notused,admin,docs,
https://cloud.skytap.com/users/new,scr-adm-users-newuser-sub,,,div#left_column,notused,admin,docs,
